date,inflow_tokens,outflow_tokens,net_flow_tokens,signal
2024-06-21,0.0,0.0,0.0,neutral
2024-06-24,0.0,0.0,0.0,neutral
2024-06-25,1837909.5467885497,170027.33817082286,1667882.2086177268,bearish_pressure (net inflow to exchanges)
2024-06-26,88883.92501455666,76343.84595410136,12540.079060455304,bearish_pressure (net inflow to exchanges)
2024-06-27,56889.65771663267,44839.38392914031,12050.273787492355,bearish_pressure (net inflow to exchanges)
2024-06-28,39355.1963487932,36843.701125313644,2511.4952234795564,bearish_pressure (net inflow to exchanges)
2024-06-29,80456.36816367978,27185.02166762033,53271.34649605946,bearish_pressure (net inflow to exchanges)
2024-06-30,57710.12638945027,109714.18860298707,-52004.062213536796,bullish_pressure (net outflow from exchanges)
2024-07-01,10337167.70760557,10443788.263827162,-106620.55622159131,bullish_pressure (net outflow from exchanges)
2024-07-02,339187.32381905476,188965.86873458693,150221.45508446783,bearish_pressure (net inflow to exchanges)
2024-07-03,191054.89065193667,76603.01704110955,114451.87361082713,bearish_pressure (net inflow to exchanges)
2024-07-04,288384.5948106666,77930.34252025816,210454.25229040842,bearish_pressure (net inflow to exchanges)
2024-07-05,252774.07423084212,139221.44600136342,113552.6282294787,bearish_pressure (net inflow to exchanges)
2024-07-06,18896.188329548106,9981.691044237905,8914.4972853102,bearish_pressure (net inflow to exchanges)
