wallet,smart_money_score,realized_pnl_usd,total_bought,total_sold,net_position,distinct_tokens_traded,timing_score,funding_source,in_funding_cluster,cluster_size,flagged_coordinated,flagged_fresh_big_buy
0x4f66e4615c98342054c02653ca8f628902427618,0.153,0.0,331722.31715775,136722.0,195000.31715775002,1.0,0.0,unknown,False,1.0,True,True
0x0ad7d6562daf3407e914c609fe86550531bc2a08,0.1528,0.0,179799.514,0.0,179799.514,1.0,0.0,unknown,False,1.0,True,True
0xa002baaac070963fc68b63a2d743ad217f6e18d0,0.1526,0.0,167103.0,0.0,167103.0,1.0,0.0,unknown,False,1.0,True,True
0x291641d51ae6a057df7b67193306539036b741d3,0.1526,0.0,170598.97,0.0,170598.97,1.0,0.0,unknown,False,1.0,True,True
0x57369a4f690274b989bfeef329da252fe0ac709f,0.1523,0.0,147153.98772232787,0.0,147153.98772232787,1.0,0.0,unknown,False,1.0,True,True
0xdfc92e99c8199185ee4f5a5685d8c2e89ab44a86,0.1522,0.0,139602.322,0.0,139602.322,1.0,0.0,unknown,False,1.0,True,True
0xe51ff642e3591dca181b3de3ad78eeb27ef0ade1,0.1521,0.0,363480.02874594956,229665.0,133815.02874594956,1.0,0.0,unknown,False,1.0,True,True
0x21b248e9096af001d07cd0fd1a6178d306808e06,0.1521,0.0,531608.4529462531,393485.4529462532,138122.99999999994,1.0,0.0,unknown,False,1.0,True,True
0x523bd9d54d407094720167f179726db3416ff2ef,0.1519,0.0,119768.4349,0.0,119768.4349,1.0,0.0,unknown,False,1.0,True,True
0x5a37a34f6de2c6fca2857996d89f210a79779d74,0.1519,0.0,196048.26252713363,70000.0,126048.26252713363,1.0,0.0,unknown,False,1.0,True,True
0xdba3a3ac85ee0247f4d303e9e326fec3d496ec87,0.1518,0.0,116253.1969783,0.0,116253.1969783,1.0,0.0,unknown,False,1.0,True,True
0xd3ce5c28b66ac0900c84dea9d83651a3c46a1fa5,0.1517,0.0,110942.55921539769,0.0,110942.55921539769,1.0,0.0,unknown,False,1.0,True,True
0x8089a902621e032f32fbd53ab630464f926f27fc,0.1517,0.0,109940.5507,0.0,109940.5507,1.0,0.0,unknown,False,1.0,True,True
0xc3dcd744db3f114f0edf03682b807b78a227bf74,0.1516,0.0,196391.32196101965,96137.86294171459,100253.45901930507,1.0,0.0,unknown,False,1.0,True,True
0xfd89398589738bd3d6e32e42549e83532b231227,0.1515,0.0,100000.0,0.0,100000.0,1.0,0.0,unknown,False,1.0,True,True
0x516bf3203fb2dab81fda748acd432f0d24065048,0.1515,0.0,100000.0,0.0,100000.0,1.0,0.0,unknown,False,1.0,True,True
0xf89d1c2e228fe80164e5cfe666ad6c51d26f6a3b,0.1515,0.0,409152.79123023053,310069.81,99082.98123023054,1.0,0.0,not_analyzed,False,1.0,True,True
0x9663272ce0b25337095cfe73deea4433c55b1da0,0.1515,0.0,100000.0,0.0,100000.0,1.0,0.0,not_analyzed,False,1.0,True,True
0x81a1bd0df1c00fe7734f038d553e5dba05eac715,0.1515,0.0,100000.0,0.0,100000.0,1.0,0.0,unknown,False,1.0,True,True
0x5e4f170bd6fab06fbff76df53b8d256db075b276,0.1515,0.0,100000.0,0.0,100000.0,1.0,0.0,not_analyzed,False,1.0,True,True
0x97b13efcbd2760f1012244b790739fe70f53bd43,0.1515,0.0,100000.0,0.0,100000.0,1.0,0.0,not_analyzed,False,1.0,True,True
0x03dd1e4c656489bf9226e62e4f2dfcb5b8968589,0.1515,0.0,100000.0,0.0,100000.0,1.0,0.0,unknown,False,1.0,True,True
0x74c51e10dfbdcaab4f81f22901f2dba03f960d59,0.1515,0.0,1000000.0,900000.0,100000.0,1.0,0.0,unknown,False,1.0,True,True
0x8b61eb528e656ee7728d8ef4936dbd1b96b18ac2,0.1515,0.0,1000000.0,900000.0,100000.0,1.0,0.0,not_analyzed,False,1.0,True,True
